Edge1-Edge2	KappaScore
R-HSA:212222 (term-term) R-HSA:1500620	0.7034883720930235
R-HSA:212222 (term-term) R-HSA:157579	0.7841269841269842
R-HSA:212222 (term-term) R-HSA:171306	0.8811188811188815
R-HSA:212222 (term-term) R-HSA:176700	0.8811188811188815
R-HSA:212222 (term-term) R-HSA:181450	0.8811188811188815
R-HSA:212222 (term-term) R-HSA:1912408	0.8811188811188815
R-HSA:212222 (term-term) R-HSA:201681	0.44376278118609425
R-HSA:212222 (term-term) R-HSA:201722	0.7841269841269842
R-HSA:212222 (term-term) R-HSA:212165	0.901162790697674
R-HSA:212252 (term-term) KEGG:05203	0.5812807881773403
R-HSA:212252 (term-term) R-HSA:110328	1.0
R-HSA:212252 (term-term) R-HSA:110329	1.0
R-HSA:212252 (term-term) R-HSA:110330	1.0
R-HSA:212252 (term-term) R-HSA:110331	1.0
R-HSA:212252 (term-term) R-HSA:1214188	1.0
R-HSA:212252 (term-term) R-HSA:1221632	0.7848101265822786
R-HSA:212252 (term-term) R-HSA:1474165	0.7848101265822786
R-HSA:212252 (term-term) R-HSA:1500620	0.7848101265822786
R-HSA:212252 (term-term) R-HSA:157579	0.8811188811188815
R-HSA:212252 (term-term) R-HSA:171306	1.0
R-HSA:212252 (term-term) R-HSA:176700	1.0
R-HSA:212252 (term-term) R-HSA:181450	1.0
R-HSA:212252 (term-term) R-HSA:1912408	1.0
R-HSA:212252 (term-term) R-HSA:201681	0.48927038626609465
R-HSA:212252 (term-term) R-HSA:201722	0.8811188811188815
R-HSA:212252 (term-term) R-HSA:212165	0.7848101265822786
R-HSA:212252 (term-term) R-HSA:212222	0.8811188811188815
R-HSA:212263 (term-term) KEGG:05203	0.5812807881773403
R-HSA:212263 (term-term) R-HSA:110328	1.0
R-HSA:212263 (term-term) R-HSA:110329	1.0
R-HSA:212263 (term-term) R-HSA:110330	1.0
R-HSA:212263 (term-term) R-HSA:110331	1.0
R-HSA:212263 (term-term) R-HSA:1214188	1.0
R-HSA:212263 (term-term) R-HSA:1221632	0.7848101265822786
R-HSA:212263 (term-term) R-HSA:1474165	0.7848101265822786
R-HSA:212263 (term-term) R-HSA:1500620	0.7848101265822786
R-HSA:212263 (term-term) R-HSA:157579	0.8811188811188815
R-HSA:212263 (term-term) R-HSA:171306	1.0
R-HSA:212263 (term-term) R-HSA:176700	1.0
R-HSA:212263 (term-term) R-HSA:181450	1.0
R-HSA:212263 (term-term) R-HSA:1912408	1.0
R-HSA:212263 (term-term) R-HSA:201681	0.48927038626609465
R-HSA:212263 (term-term) R-HSA:201722	0.8811188811188815
R-HSA:212263 (term-term) R-HSA:212165	0.7848101265822786
R-HSA:212263 (term-term) R-HSA:212222	0.8811188811188815
R-HSA:212263 (term-term) R-HSA:212252	1.0
