Gene ID	1442plasma	1874plasma	3399plasma	3701plasma	4353plasma	4370plasma	4395plasma	4894plasma	BALL10	HD1	HD2	HD3	HD4	HD5	HD6						
BUB1	5.720108	2.218075563	2.344768815	3.770108563	2.995481628	3.514995674	2.599306198	3.163942538	5.539798591	1.555694722	2.556884884	1.30480429	1.642206131	1.357348194	0.987813417						
WDR31	2.221344089	4.27028906	1.200096084	1.341237977	4.461279164	4.006912399	5.967636273	2.787603265	2.57579348	0.827439552	2.202849389	1.118496536	0.501765369	1.828228276	1.674157575						
GPR50	0.681549857	2.102725898	4.770306281	1.200132463	2.097062707	3.934593316	0.511879861	-0.170486094	1.374658459	0.181181928	0.237015946	1.231416389	0.413055281	0.65175303	0.652649727						
LINC02127	3.195217883	1.522062363	4.435089687	2.775759334	1.294423376	6.319130154	0.828791434	0.458567217	0.90761047	1.826309688	0.497237204	1.50409978	0.607176284	1.267411143	0.508028477						
MAPT	9.739959328	7.660353848	10.80182625	9.069702935	7.947815751	12.39342142	7.284630466	6.690684077	7.8661927	7.256052409	6.985385672	7.306885436	7.646036145	6.644584828	6.26550909						
ZNF124	1.369939126	5.559879985	3.820718167	4.588644302	1.572845118	4.692644036	2.801325907	2.135811177	1.585850044	0.820439377	1.887971904	1.104449737	0.944161998	2.033463218	1.426983386						
CHURC1-FNTB	6.952381861	5.049924279	7.026206448	4.183971362	3.336725667	8.40005401	6.569984983	3.097196264	5.177648939	2.42281066	4.034083975	4.676085384	2.720547096	2.22751352	3.46668269						
CIRBP	7.424370396	4.105803926	5.981685663	5.915153524	5.350334716	6.399187684	3.578803047	3.971416557	5.924683351	3.066227853	3.860360746	3.935523416	2.141006976	2.412810689	1.608672581						
RTL9	0.681481625	0.824704737	4.446525658	2.246398769	1.066882532	3.692811664	2.287898349	0.303051364	1.079366851	0.199648446	0.253033633	0.426929382	0.763651507	1.042263248	0.377211174						
HNRNPA1	1.384964004	0.689425994	3.166994695	1.029545204	1.18228756	3.280109662	1.703039601	-0.175587802	0.921424189	0.076186544	0.11847204	1.040278564	0.325469275	-0.011915621	0.137157867						
RPS3A	3.479712313	-0.009457199	3.542223426	1.192394589	1.923727282	3.855648213	0.51735887	1.85025753	0.11592429	0.845140342	0.931817515	0.428657186	0.765600071	0.09758671	-0.012439837						
LOC105373897	1.474606195	2.049930896	1.600997612	0.804033776	0.721713389	2.250772209	1.753672974	2.109384935	2.018934507	0.329688344	0.917027753	1.156365864	0.188419017	0.263892788	0.066248529						
TCFL5	3.407056033	3.550447772	2.21507926	1.304686417	1.552966759	6.496745428	4.274158343	1.4823329	3.871119529	0.776284514	0.84728967	1.078516988	1.473919743	2.859860768	1.396964984						
LOC105375990	3.947167073	1.407139798	0.180515519	1.618674341	1.703292472	2.617048977	5.081678416	-0.072781026	2.351938265	0.309160407	1.493101578	1.359693	0.859347242	0.180815309	0.442634295						
LOC101927226	8.115079069	6.731320305	9.174967993	7.192036601	5.483499419	9.029921816	9.010226338	5.439450217	6.369214464	4.854205324	4.920073981	6.209018905	4.305191531	5.372509543	4.431266101						
BTG2	6.926653148	2.431069817	5.116340153	1.409267689	3.708424457	5.352804915	2.091532423	1.568452243	3.00849192	0.894716802	1.575777903	3.794274654	0.986816693	0.734227114	1.004467429						
POGK	5.20529216	4.425813665	4.628010231	4.354013498	3.033821814	4.999565289	5.473239325	3.066597833	3.248171213	1.442068155	2.003584259	2.996583871	2.419317695	2.026269691	1.875902946						
SNRNP35	0.94553356	2.768968543	4.522094833	3.374860242	0.917086599	3.801217511	0.817152245	2.965627757	0.927476787	1.081669893	1.890015148	0.719834327	0.214337909	0.361223871	0.871558692						
LOC105378798	5.303231656	2.473836576	1.839197657	3.367481005	2.27688968	0.906919693	6.171046605	1.329815573	3.886537799	0.832334082	1.509537795	2.289944103	1.51302422	1.83979672	2.146129643						
FBXO46	7.005839699	4.944265226	6.996434645	4.296403628	4.548781958	8.381744046	6.907905551	1.982212438	5.326456365	2.513524888	4.705666237	4.637236322	3.29490893	2.325563763	3.796744619						
LOC124902929	2.715459243	3.372963539	2.73367961	2.007695974	4.011506978	2.934332753	5.410507117	2.147147647	2.421305485	1.432719815	1.522383493	1.150016428	1.307465626	1.839721543	1.382794431						
SH3BP1	1.259674503	0.875906048	4.588128867	2.161271947	4.010243597	1.39797818	6.375261707	3.59115737	1.118446869	0.684773484	1.81377737	0.984927288	2.57968441	1.083278564	1.852736568						
RPL35	1.196753731	1.661500099	5.123622858	3.275260317	3.556668237	3.855199948	1.058226143	1.404858684	3.66760987	0.690471527	1.361317622	2.45555348	0.841703231	1.079613582	0.751571631						
