,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
FBgn0000246,230.6024964,-0.383691242,0.486235002,-0.789106584,0.430049714,0.654467549
FBgn0000247,4222.446405,-0.23796421,0.286282406,-0.831221916,0.405848276,0.630718959
FBgn0000250,2180.349162,0.106823178,0.253264774,0.421784586,0.673182258,0.829909644
FBgn0000251,5.866840949,0.234284739,0.705127388,0.332258742,NA,NA
FBgn0000253,182131.5861,-1.701702228,0.331886574,-5.127360849,2.94E-07,5.54E-06
FBgn0000256,1791.013895,-0.012188013,0.296042528,-0.041169804,0.967160526,0.987658129
FBgn0000257,1955.459989,0.438870614,0.34544228,1.270460041,0.203920808,0.424174297
FBgn0000259,11249.56337,0.648336473,0.221322304,2.92937702,0.003396422,0.021099644
FBgn0000261,1329.880936,0.059171457,0.230664439,0.256526136,0.797544602,0.903141796
FBgn0000273,35194.35372,-0.185112521,0.18580522,-0.996271911,0.319118048,0.553385549
FBgn0000274,2.422658077,-0.496529441,0.64878912,-0.765317152,0.444082713,NA
FBgn0000276,0,NA,NA,NA,NA,NA
FBgn0000277,0,NA,NA,NA,NA,NA
FBgn0000278,0,NA,NA,NA,NA,NA
FBgn0000279,0.499928975,-0.11052515,0.627423679,-0.176157123,NA,NA
FBgn0000280,0,NA,NA,NA,NA,NA
FBgn0000281,0,NA,NA,NA,NA,NA
FBgn0000283,4915.919024,-0.511331246,0.448584296,-1.139877724,0.254337247,0.483370532
FBgn0000286,5765.678549,0.44084944,0.26520662,1.66228671,0.096455301,0.259882154
FBgn0000287,6.794409445,-0.429541134,0.896084538,-0.47935336,0.631687268,0.802978237
FBgn0000289,31347.02382,0.330719223,0.165607969,1.99700066,0.045825111,0.15538635
FBgn0000299,2482.827943,1.064578143,0.281485179,3.782004249,0.000155571,0.001559064
FBgn0000303,56567.72583,0.181478738,0.178233722,1.018206521,0.308579821,0.542986113
FBgn0000307,3304.329974,-0.025573235,0.273202961,-0.093605262,0.92542273,0.96548363
FBgn0000308,8972.606193,0.367280957,0.288508917,1.273031562,0.203006842,0.423094743
FBgn0000316,2298.598201,0.017238842,0.27182105,0.063419819,0.949432206,0.978674819
